item,subj,onset,Exp,structure,position,ExpID
46,7,912,3a,complex,above,1
46,2,1010,3a,complex,above,1
6,10,972,3a,complex,above,1
6,9,1168,3a,complex,above,1
6,11,1585,3a,complex,above,1
6,6,894,3a,complex,above,1
6,7,866,3a,complex,above,1
6,2,NA,3a,complex,above,1
43,10,876,3a,complex,above,1
43,9,NA,3a,complex,above,1
43,11,2394,3a,complex,above,1
43,6,1170,3a,complex,above,1
43,7,857,3a,complex,above,1
43,2,1440,3a,complex,above,1
48,10,NA,3a,complex,above,1
48,9,1098,3a,complex,above,1
48,11,1325,3a,complex,above,1
48,6,1172,3a,complex,above,1
48,7,1077,3a,complex,above,1
48,2,1056,3a,complex,above,1
15,8,946,3a,complex,below,1
15,5,958,3a,complex,below,1
15,12,1784,3a,complex,below,1
15,1,991,3a,complex,below,1
15,3,1327,3a,complex,below,1
15,4,793,3a,complex,below,1
30,8,1006,3a,complex,below,1
30,5,1034,3a,complex,below,1
30,12,918,3a,complex,below,1
30,1,1500,3a,complex,below,1
30,3,976,3a,complex,below,1
30,4,1009,3a,complex,below,1
40,8,903,3a,complex,below,1
40,5,1189,3a,complex,below,1
40,12,922,3a,complex,below,1
40,1,NA,3a,complex,below,1
40,3,1376,3a,complex,below,1
40,4,NA,3a,complex,below,1
14,8,1260,3a,complex,below,1
14,5,912,3a,complex,below,1
14,12,NA,3a,complex,below,1
14,1,1088,3a,complex,below,1
14,3,1099,3a,complex,below,1
14,4,804,3a,complex,below,1
27,8,764,3a,complex,below,1
27,5,1322,3a,complex,below,1
27,12,799,3a,complex,below,1
27,1,1341,3a,complex,below,1
27,3,NA,3a,complex,below,1
27,4,1630,3a,complex,below,1
28,8,1493,3a,complex,below,1
28,5,1016,3a,complex,below,1
28,12,716,3a,complex,below,1
28,1,1379,3a,complex,below,1
28,3,1250,3a,complex,below,1
28,4,1053,3a,complex,below,1
4,8,940,3a,complex,below,1
4,5,1022,3a,complex,below,1
4,12,919,3a,complex,below,1
4,1,1070,3a,complex,below,1
4,3,967,3a,complex,below,1
4,4,913,3a,complex,below,1
8,8,1090,3a,complex,below,1
8,5,1205,3a,complex,below,1
8,12,NA,3a,complex,below,1
8,1,1208,3a,complex,below,1
8,3,1094,3a,complex,below,1
8,4,828,3a,complex,below,1
44,8,976,3a,complex,below,1
44,5,1058,3a,complex,below,1
44,12,778,3a,complex,below,1
44,1,1398,3a,complex,below,1
44,3,1118,3a,complex,below,1
44,4,1614,3a,complex,below,1
23,8,987,3a,complex,below,1
23,5,NA,3a,complex,below,1
23,12,758,3a,complex,below,1
23,1,1469,3a,complex,below,1
23,3,996,3a,complex,below,1
23,4,1039,3a,complex,below,1
26,8,968,3a,complex,below,1
26,5,1206,3a,complex,below,1
26,12,691,3a,complex,below,1
26,1,1285,3a,complex,below,1
26,3,NA,3a,complex,below,1
26,4,818,3a,complex,below,1
38,8,865,3a,complex,below,1
38,5,1071,3a,complex,below,1
38,12,1186,3a,complex,below,1
38,1,2007,3a,complex,below,1
38,3,1446,3a,complex,below,1
38,4,819,3a,complex,below,1
2,8,1452,3a,complex,below,1
2,5,1107,3a,complex,below,1
2,12,1482,3a,complex,below,1
2,1,2475,3a,complex,below,1
2,3,959,3a,complex,below,1
2,4,948,3a,complex,below,1
17,8,848,3a,complex,below,1
17,5,1255,3a,complex,below,1
17,12,1125,3a,complex,below,1
17,1,1292,3a,complex,below,1
17,3,1150,3a,complex,below,1
17,4,900,3a,complex,below,1
31,8,1202,3a,complex,below,1
31,5,1265,3a,complex,below,1
31,12,1132,3a,complex,below,1
31,1,1687,3a,complex,below,1
31,3,1404,3a,complex,below,1
31,4,994,3a,complex,below,1
7,8,1304,3a,complex,below,1
7,5,1301,3a,complex,below,1
7,12,1246,3a,complex,below,1
7,1,1045,3a,complex,below,1
7,3,1401,3a,complex,below,1
7,4,1023,3a,complex,below,1
18,8,1037,3a,complex,below,1
18,5,616,3a,complex,below,1
18,12,798,3a,complex,below,1
18,1,1255,3a,complex,below,1
18,3,1244,3a,complex,below,1
18,4,1040,3a,complex,below,1
41,8,799,3a,complex,below,1
41,5,1168,3a,complex,below,1
41,12,831,3a,complex,below,1
41,1,1455,3a,complex,below,1
41,3,1046,3a,complex,below,1
41,4,907,3a,complex,below,1
12,8,999,3a,complex,below,1
12,5,1012,3a,complex,below,1
12,12,693,3a,complex,below,1
12,1,1229,3a,complex,below,1
12,3,1074,3a,complex,below,1
12,4,858,3a,complex,below,1
34,8,1230,3a,complex,below,1
34,5,990,3a,complex,below,1
34,12,861,3a,complex,below,1
34,1,1351,3a,complex,below,1
34,3,1310,3a,complex,below,1
34,4,1304,3a,complex,below,1
46,8,1323,3a,complex,below,1
46,5,1001,3a,complex,below,1
46,12,1193,3a,complex,below,1
46,1,1199,3a,complex,below,1
46,3,1138,3a,complex,below,1
46,4,772,3a,complex,below,1
6,8,1011,3a,complex,below,1
6,5,1208,3a,complex,below,1
6,12,858,3a,complex,below,1
6,1,1358,3a,complex,below,1
6,3,NA,3a,complex,below,1
6,4,1509,3a,complex,below,1
43,8,932,3a,complex,below,1
43,5,1254,3a,complex,below,1
43,12,1024,3a,complex,below,1
43,1,2391,3a,complex,below,1
43,3,1695,3a,complex,below,1
43,4,1111,3a,complex,below,1
48,8,1094,3a,complex,below,1
48,5,1212,3a,complex,below,1
48,12,1162,3a,complex,below,1
48,1,1653,3a,complex,below,1
48,3,NA,3a,complex,below,1
48,4,1275,3a,complex,below,1
11,8,1112,3a,simple,below,1
11,5,881,3a,simple,below,1
11,12,889,3a,simple,below,1
11,1,1363,3a,simple,below,1
11,3,1494,3a,simple,below,1
11,4,1030,3a,simple,below,1
25,8,807,3a,simple,below,1
25,5,960,3a,simple,below,1
25,12,733,3a,simple,below,1
25,1,1273,3a,simple,below,1
25,3,831,3a,simple,below,1
25,4,770,3a,simple,below,1
37,8,947,3a,simple,below,1
37,5,1286,3a,simple,below,1
37,12,748,3a,simple,below,1
37,1,1279,3a,simple,below,1
37,3,1093,3a,simple,below,1
37,4,1002,3a,simple,below,1
5,8,935,3a,simple,below,1
5,5,1094,3a,simple,below,1
5,12,NA,3a,simple,below,1
5,1,NA,3a,simple,below,1
5,3,1120,3a,simple,below,1
5,4,975,3a,simple,below,1
10,8,970,3a,simple,below,1
10,5,1606,3a,simple,below,1
10,12,1068,3a,simple,below,1
10,1,1498,3a,simple,below,1
10,3,940,3a,simple,below,1
10,4,957,3a,simple,below,1
21,8,825,3a,simple,below,1
